TransactionID,CustomerID,TransactionAmount,TransactionType,MerchantCategory,CustomerAge,Country,HourOfDay,IsInternational,IsFraud
T033553,1834,11.353899651268225,POS,Electronics,51,UK,9,0,0
T009427,7875,9.992346992101476,Online,Luxury,55,US,2,0,0
T000199,2734,21.726258867891747,POS,Gaming,51,IN,12,0,0
T012447,2617,14.234071288917184,POS,Electronics,53,CA,10,0,0
T039489,2014,30.962154962755356,ATM,Travel,24,NG,8,0,0
T042724,6852,8.721145437456109,ATM,Grocery,38,US,11,0,0
T010822,5052,51.31861683944484,ATM,Grocery,41,BR,20,0,0
T049498,4660,644.6101654237043,POS,Luxury,56,BR,9,0,1
T004144,1584,28.73156800554559,Online,Travel,18,BR,4,0,0
T036958,9498,18.341771221511245,POS,Grocery,55,NG,5,0,0
T043106,2848,40.81046073169079,Online,Gaming,60,BR,0,0,0
T038695,6860,30.006702095576323,POS,Grocery,45,CA,17,0,0
T006188,6728,9.55445133204049,POS,Travel,21,CA,14,0,0
T001414,6655,8.137284144614487,POS,Grocery,45,US,19,0,0
T018471,7651,22.67037450518566,POS,Electronics,53,NG,6,0,0
T029282,1248,40.80392185557409,POS,Gaming,48,CN,14,0,0
T015177,9349,20.922041754841167,POS,Gaming,56,NG,16,0,0
T034304,9413,18.626185680274247,POS,Grocery,50,IN,6,0,0
T012609,5861,23.283995533516908,POS,Travel,35,UK,18,1,0
T012144,5939,13.40929109191757,POS,Luxury,63,NG,12,0,0
T006113,5566,18.58013302255208,POS,Electronics,33,CN,19,0,0
T015908,4615,21.427926519729738,POS,Luxury,38,CN,11,0,0
T000821,3832,16.949043700481607,POS,Gaming,47,BR,14,1,0
T015118,9751,30.51114009267002,ATM,Gaming,62,BR,1,0,0
T013466,9775,12.412246372131039,ATM,Travel,52,CN,19,0,0
T026497,6725,22.86526787435345,POS,Travel,32,BR,19,0,0
T042111,3085,34.962637697973555,Online,Travel,25,BR,1,1,0
T030188,7987,34.92632884154469,ATM,Grocery,28,UK,2,0,0
T037237,1116,56.438820882446734,Online,Electronics,57,NG,17,0,0
T033109,8088,27.54282635715922,POS,Travel,42,CN,1,0,0
T036480,4147,9.893533998477524,ATM,Grocery,48,UK,23,0,0
T024148,7419,40.84545244630607,ATM,Luxury,25,NG,1,1,0
T005503,7666,22.66290958802871,ATM,Travel,44,CA,1,0,0
T003918,5135,34.40306442921897,POS,Gaming,30,US,5,0,0
T038478,8041,32.29157285445804,ATM,Luxury,71,NG,4,0,0
T021123,2155,25.94448355555167,POS,Travel,26,CN,18,0,0
T049717,5843,883.2388393654339,Online,Travel,61,CA,15,0,1
T042294,2756,33.75896934178436,POS,Luxury,18,NG,21,0,0
T047609,4265,259.93518298520826,POS,Gaming,45,IN,10,0,1
T011076,7471,28.15852850703265,Online,Grocery,26,CA,1,0,0
T041514,8456,17.64529504055517,POS,Gaming,35,NG,6,0,0
T022062,5964,27.134643251543178,POS,Travel,31,NG,3,0,0
T009413,8631,22.375596261552726,POS,Luxury,28,UK,15,0,0
T038340,3125,37.13511046217576,Online,Travel,34,BR,2,0,0
T030263,8150,10.618925817979553,Online,Grocery,48,US,23,0,0
T041252,8968,14.018946007403375,ATM,Grocery,22,US,19,0,0
T014644,6129,15.968044011176664,Online,Gaming,44,BR,8,0,0
T026335,6910,15.186709372055567,POS,Electronics,51,CA,3,0,0
T028102,6333,22.610595364259588,POS,Luxury,46,IN,22,0,0
T017523,4369,48.850299254330196,POS,Grocery,65,IN,18,0,0
T024712,5004,23.421850952535316,ATM,Travel,51,CA,5,0,0
T040485,1299,58.90347757158989,Online,Electronics,59,UK,5,0,0
T003850,5589,17.046591385364987,Online,Grocery,38,IN,23,0,0
T040040,4320,18.72381457464187,ATM,Grocery,23,NG,0,0,0
T015267,7970,13.257834122219148,POS,Gaming,51,BR,20,0,0
T049146,7335,101.84537637992216,POS,Grocery,18,BR,0,0,1
T030001,1353,22.193101534693874,POS,Gaming,54,BR,23,0,0
T045926,7190,13.690655398211808,POS,Luxury,27,NG,5,0,0
T043824,9641,22.565112336423585,Online,Luxury,18,NG,3,0,0
T017240,7599,9.931851704289386,Online,Electronics,44,NG,13,0,0
T004892,1490,19.125060418982525,Online,Electronics,38,US,12,1,0
T000725,9717,32.57394770494912,POS,Grocery,60,UK,19,0,0
T022949,3789,17.122500470234876,Online,Gaming,42,US,7,0,0
T034657,3467,13.30728926413015,POS,Travel,64,BR,18,0,0
T037213,1329,31.83843217475766,Online,Electronics,60,CA,13,0,0
T020304,4932,18.868033012959696,POS,Grocery,62,IN,11,0,0
T015269,5318,19.420338668456296,ATM,Grocery,35,CA,13,0,0
T022367,7101,15.557816513838322,Online,Electronics,22,US,11,0,0
T042684,7646,19.742691981745537,POS,Luxury,37,IN,23,0,0
T046734,8482,11.679304537850298,Online,Gaming,41,US,18,0,0
T011732,6828,20.93575985808263,Online,Grocery,22,US,7,0,0
T018619,3415,31.379665013919613,Online,Gaming,27,NG,5,0,0
T048492,1296,127.8090409838879,POS,Grocery,21,IN,13,0,1
T026803,8825,33.841250544315905,POS,Gaming,27,BR,16,0,0
T044305,2051,6.399971163504114,POS,Luxury,28,BR,14,0,0
T047522,9409,106.92377331517409,Online,Luxury,45,NG,2,0,1
T032207,5520,13.274388112080624,POS,Travel,43,NG,11,0,0
T002530,2517,24.680041246447733,POS,Electronics,25,UK,0,0,0
T017746,2084,22.861978555356778,Online,Grocery,66,CA,23,0,0
T008270,5180,8.605361994379086,Online,Travel,60,CA,23,0,0
T015079,6874,24.21270092166977,Online,Travel,45,US,6,0,0
T013624,3288,48.185548175882765,Online,Grocery,29,US,9,1,0
T030638,2399,11.817427362984862,POS,Electronics,46,NG,10,0,0
T030440,3739,32.672406484507235,ATM,Gaming,71,UK,11,0,0
T036056,5231,25.022589251809123,POS,Luxury,74,IN,18,0,0
T042651,1970,20.94559464788527,POS,Electronics,19,IN,16,0,0
T036803,1362,25.02141988210244,POS,Electronics,61,NG,3,0,0
T048224,7002,56.57141825958478,Online,Electronics,53,CA,13,0,1
T029226,6333,37.0035531416394,ATM,Electronics,43,CA,20,0,0
T005633,2927,34.83796070371503,Online,Travel,36,NG,5,0,0
T005987,4250,17.437080148485787,ATM,Gaming,46,NG,16,0,0
T048063,1586,366.68120783894125,POS,Grocery,60,CN,2,0,1
T001812,9555,8.230802866056617,POS,Luxury,31,BR,13,0,0
T027578,9814,40.18917860693814,POS,Electronics,25,NG,11,0,0
T016823,9781,30.094029058871172,Online,Travel,71,US,2,0,0
T003928,5143,12.689000993139008,Online,Luxury,34,US,7,1,0
T037286,6868,12.498863969686719,POS,Gaming,50,BR,2,0,0
T025045,8955,17.797306120493264,POS,Travel,57,NG,2,0,0
T015727,9104,15.20223529457208,POS,Gaming,24,NG,20,1,0
T029600,3053,44.535186419071806,POS,Electronics,58,BR,14,0,0
T010430,4414,20.02134654773723,Online,Travel,43,UK,14,0,0
T025768,2530,30.48287050926609,POS,Gaming,69,NG,21,0,0
T029103,5978,14.581452626757603,POS,Gaming,42,CN,6,0,0
T036537,7333,24.379750624041566,ATM,Electronics,52,CN,16,0,0
T039328,7982,26.056930079809373,POS,Travel,63,CA,19,0,0
T035539,1081,29.49849033162921,Online,Electronics,25,BR,16,0,0
T028075,8172,9.903316709930028,Online,Travel,27,IN,4,1,0
T017840,8784,42.65824817332062,POS,Travel,21,UK,4,0,0
T027802,1446,43.27292648747874,POS,Gaming,42,BR,14,0,0
T007682,5144,17.098025180818688,Online,Grocery,26,US,21,0,0
T024279,6056,21.552785554766302,ATM,Luxury,67,UK,5,0,0
T033070,5047,21.525818848061576,ATM,Electronics,53,BR,13,0,0
T035557,2545,20.193059670451685,POS,Luxury,63,IN,20,0,0
T037189,1455,16.293655453639335,POS,Grocery,27,CA,12,0,0
T047149,5937,14.607892320178054,ATM,Electronics,57,NG,8,0,0
T046915,1555,18.670562462143366,Online,Travel,64,UK,0,0,0
T009801,7021,19.884924876490544,Online,Travel,57,UK,2,0,0
T038800,5459,16.791629110756734,Online,Gaming,50,IN,8,0,0
T024669,4575,36.615604644518854,POS,Travel,62,CN,18,0,0
T044233,7422,36.19029553269967,ATM,Grocery,72,CN,9,0,0
T031919,7275,24.40683715657527,ATM,Luxury,39,CN,1,0,0
T007134,3374,9.111622312538245,ATM,Grocery,58,UK,8,0,0
T033704,8445,17.43492527541389,POS,Electronics,26,NG,23,0,0
T029660,5604,14.776414058674389,POS,Grocery,19,CN,8,0,0
T017893,1941,30.968217603845837,Online,Luxury,26,UK,18,0,0
T022018,1872,7.589029490352405,POS,Gaming,60,IN,2,0,0
T013538,9632,22.35305461448773,POS,Travel,23,CN,5,0,0
T043118,6371,14.980546297451612,POS,Electronics,71,NG,9,0,0
T036420,1509,23.05252391394462,Online,Travel,57,US,4,1,0
T009405,8062,17.946061196813833,Online,Grocery,52,CN,1,1,0
T013413,7132,22.687973425279676,Online,Travel,54,CA,19,0,0
T006720,3555,26.49631471805435,Online,Electronics,74,IN,23,0,0
T015601,5365,14.245262504953196,Online,Gaming,39,IN,19,0,0
T044743,8432,21.728961429324844,ATM,Grocery,18,BR,3,0,0
T031138,9628,24.2071788395003,Online,Electronics,55,CN,8,0,0
T002729,3454,40.46847411185111,Online,Luxury,40,CN,15,0,0
T038242,2488,11.22587489895632,POS,Luxury,74,BR,4,1,0
T029625,4414,24.69815440418977,POS,Gaming,21,UK,9,0,0
T047894,2520,367.740531237635,POS,Luxury,18,UK,21,0,1
T042090,3767,16.40327326957394,POS,Gaming,22,IN,22,0,0
T036399,6354,39.53534082622347,Online,Electronics,26,CA,14,0,0
T006244,7966,22.55788306406232,Online,Grocery,67,CA,12,0,0
T005545,7795,16.684074441044427,Online,Travel,25,US,21,0,0
T004064,2517,31.669302802787506,ATM,Grocery,34,NG,13,0,0
T012851,1325,23.930980107474674,ATM,Gaming,36,UK,18,0,0
T021802,9174,31.70903072053532,Online,Grocery,41,UK,8,1,0
T041163,2725,29.715897098560443,ATM,Electronics,41,UK,13,0,0
T006232,1564,17.045676007764214,POS,Electronics,36,CN,5,0,0
T003862,8972,23.41257188796903,ATM,Luxury,18,CA,5,0,0
T035094,4815,26.840117477394795,POS,Travel,43,CA,15,0,0
T040195,5102,19.712693253871816,Online,Travel,59,UK,3,0,0
T039250,2386,13.657494536788228,POS,Travel,41,UK,16,0,0
T006217,7058,14.455400631042748,Online,Gaming,62,UK,12,0,0
T036775,2767,16.530903743349963,Online,Gaming,59,UK,3,1,0
T042976,9455,6.944370500075825,POS,Grocery,45,NG,19,1,0
T048467,7308,119.41338333264069,Online,Grocery,67,IN,4,0,1
T014831,4376,8.062041938223786,POS,Luxury,42,BR,9,0,0
T030092,5471,30.208981767846062,POS,Grocery,62,BR,12,0,0
T008893,4963,35.54934105460901,POS,Travel,66,CA,23,0,0
T006020,7763,12.539758250656602,POS,Gaming,71,CN,13,0,0
T046088,2714,23.959581176205464,Online,Electronics,31,UK,21,0,0
T015242,6956,24.413199865105145,ATM,Electronics,25,CA,23,0,0
T045307,5261,34.036805979083,Online,Gaming,72,CN,15,0,0
T026550,3529,14.968258881380972,Online,Grocery,33,UK,22,0,0
T006034,9418,16.258699669446184,Online,Travel,40,IN,10,0,0
T007905,4574,66.73351254334797,POS,Electronics,46,CA,12,0,0
T032225,6999,19.552102578444234,Online,Gaming,59,BR,9,0,0
T006017,1687,38.56703952856131,POS,Luxury,58,NG,4,0,0
T021879,8884,24.787742856146657,Online,Electronics,66,BR,6,0,0
T002791,9392,16.74439258396697,POS,Luxury,20,CN,7,0,0
T042605,8589,31.042857861367807,Online,Gaming,31,CN,17,0,0
T005823,8572,15.288345581088231,Online,Grocery,59,BR,22,0,0
T015387,7567,16.426267522408082,POS,Luxury,73,CA,1,0,0
T029561,4321,30.53834807817102,POS,Gaming,66,NG,16,0,0
